[Source: knowindia.gov.in](http://knowindia.gov.in/states-uts/)
[Updated: August 8, 2018]
Andhra Pradesh
Arunachal Pradesh
Assam
Bihar
Chhattisgarh
Goa
Gujarat
Haryana
Himachal Pradesh
Jammu & Kashmir 
Jharkhand
Karnataka
Kerala
Madhya Pradesh
Maharashtra
Manipur
Meghalaya
Mizoram
Nagaland
Odisha
Punjab
Rajasthan
Sikkim
Tamil Nadu
Telangana
Tripura
Uttar Pradesh
Uttarakhand
West Bengal
Andaman and Nicobar Islands
Chandigarh
Dadra and Nagar Haveli
Daman & Diu
Lakshadweep
Puducherry
The Government of NCT of Delhi
