[Source: Gov.uk](https://en.wikipedia.org/wiki/List_of_ceremonial_counties_of_England)
[Updated: August 21, 2019]
Bedfordshire
Berkshire
Bristol
Buckinghamshire
Cambridgeshire
Cheshire
City of London
Cornwall
County Durham
Cumbria
Derbyshire
Devon
Dorset
East Riding of Yorkshire
East Sussex
Essex
Gloucestershire
Greater London
Greater Manchester
Hampshire
Herefordshire
Hertfordshire
Isle of Wight
Kent
Lancashire
Leicestershire
Lincolnshire
Merseyside
Norfolk
North Yorkshire
Northamptonshire
Northumberland
Nottinghamshire
Oxfordshire
Rutland
Shropshire
Somerset
South Yorkshire
Staffordshire
Suffolk
Surrey
Tyne and Wear
Warwickshire
West Midlands
West Sussex
West Yorkshire
Wiltshire
Worcestershire
