[Source: Encyclopedia Britannica](https://www.britannica.com/topic/list-of-prime-ministers-of-Canada-1800352)
[Updated: August 8, 2018]
Sir John Alexander Macdonald
Alexander Mackenzie
Sir John Alexander Macdonald
Sir John Abbott
Sir John Thompson
Sir Mackenzie Bowell
Sir Charles Tupper
Sir Wilfrid Laurier
Sir Robert Laird Borden
Arthur Meighen
W.L. Mackenzie King
Arthur Meighen
W.L. Mackenzie King
Richard Bedford Bennett
W.L. Mackenzie King
Louis Saint Laurent
John G. Diefenbaker
Lester B. Pearson
Pierre Elliott Trudeau
Joe Clark
Pierre Elliott Trudeau
John N. Turner
Brian Mulroney
Kim Campbell
Jean Chrétien
Paul Martin
Stephen Harper
Justin Trudeau
