[Source: U.S. Office of Personnel Management](https://www.opm.gov/faqs/QA.aspx)
[Updated: August 8, 2018]
New Year's Day
Martin Luther King, Jr. Day
George Washington's Birthday
Memorial Day
Independence Day
Labor Day
Columbus Day
Veterans Day
Thanksgiving Day
Christmas Day
