[Source: IMDB](https://www.imdb.com/list/ls020525837/)
[Updated: August 10, 2018]
Captain America: The First Avenger
Iron Man
The Incredible Hulk
Iron Man 2
Thor
The Avengers
Iron Man 3
Thor: The Dark World
Captain America: The Winter Soldier
Guardians of the Galaxy
Guardians of the Galaxy Vol. 2
Avengers: Age of Ultron
Ant-Man
Captain America: Civil War
Spider-Man: Homecoming
Doctor Strange
Thor: Ragnarok
Black Panther
Avengers: Infinity War
Ant-Man and the Wasp
Captain Marvel
